subdistrict_code,subdistrict_name,district_code,latitude,longitude,timezone
2005,Sayati,09,-6.97136887,107.57587817,Asia/Jakarta
2001,Margaasih,10,-6.93913507,107.54623849,Asia/Jakarta
2002,Lagadar,10,-6.92769471,107.53281648,Asia/Jakarta
2003,Nanjung,10,-6.95395303,107.53834329,Asia/Jakarta
2004,Mekarrahayu,10,-6.9711981,107.5520709,Asia/Jakarta
2005,Rahayu,10,-6.9581201,107.55647438,Asia/Jakarta
2006,Cigondewah Hilir,10,-6.95203382,107.55117359,Asia/Jakarta
2001,Sangkanhurip,11,-6.99856487,107.56692697,Asia/Jakarta
2002,Katapang,11,-7.00504864,107.5463802,Asia/Jakarta
2004,Gandasari,11,-7.02476175,107.55076301,Asia/Jakarta
2006,Sukamukti,11,-7.00256018,107.58028762,Asia/Jakarta
2007,Cilampeni,11,-6.98931635,107.55198417,Asia/Jakarta
2008,Pangauban,11,-7.00251072,107.55559196,Asia/Jakarta
2009,Banyusari,11,-7.01775045,107.55887376,Asia/Jakarta
1001,Pasawahan,12,-6.96873592,107.61457101,Asia/Jakarta
2002,Dayeuhkolot,12,-6.98477418,107.62195351,Asia/Jakarta
2003,Cangkuang Wetan,12,-6.97101907,107.60461966,Asia/Jakarta
2004,Cangkuang Kulon,12,-6.97048702,107.5940808,Asia/Jakarta
2005,Sukapura,12,-6.96877208,107.62833013,Asia/Jakarta
2006,Citeureup,12,-6.97969428,107.62597939,Asia/Jakarta
2001,Kamasan,13,-7.04782271,107.57827047,Asia/Jakarta
2002,Banjaran Wetan,13,-7.08209003,107.61115038,Asia/Jakarta
2003,Banjaran,13,-7.0472031,107.58867204,Asia/Jakarta
2005,Ciapus,13,-7.06717798,107.59184553,Asia/Jakarta
2006,Sindangpanon,13,-7.0631828,107.58161535,Asia/Jakarta
2007,Kiangroke,13,-7.05048433,107.56747447,Asia/Jakarta
2008,Tarajusari,13,-7.03692111,107.58439799,Asia/Jakarta
2012,Mekarjaya,13,-7.09038718,107.60149403,Asia/Jakarta
2013,Margahurip,13,-7.06117141,107.56192257,Asia/Jakarta
2016,Neglasari,13,-7.0635339,107.57231728,Asia/Jakarta
2018,Pasirmulya,13,-7.10043547,107.60076018,Asia/Jakarta
2001,Sukasari,14,-7.02294163,107.59155593,Asia/Jakarta
2002,Bojongmanggu,14,-7.02822862,107.60263998,Asia/Jakarta
2003,Rancatungku,14,-7.0227507,107.57871643,Asia/Jakarta
2004,Bojongkunci,14,-7.0189996,107.56805176,Asia/Jakarta
2005,Rancamulya,14,-7.00921755,107.59240721,Asia/Jakarta
2006,Langonsari,14,-7.02048241,107.60764122,Asia/Jakarta
2005,Baros,16,-7.06577226,107.63017401,Asia/Jakarta
2006,Mangunjaya,16,-7.08172167,107.61951841,Asia/Jakarta
2007,Mekarjaya,16,-7.0830359,107.63094962,Asia/Jakarta
2008,Pinggirsari,16,-7.08162532,107.65182237,Asia/Jakarta
2009,Patrolsari,16,-7.05598062,107.66980583,Asia/Jakarta
2010,Rancakole,16,-7.07127149,107.67780678,Asia/Jakarta
2011,Wargaluyu,16,-7.03553934,107.6235619,Asia/Jakarta
2001,Arjasari,16,-7.06090343,107.64205124,Asia/Jakarta
2002,Lebakwangi,16,-7.04234392,107.60859879,Asia/Jakarta
2003,Batukarut,16,-7.04630154,107.60064001,Asia/Jakarta
2004,Ancolmekar,16,-7.0907215,107.66796856,Asia/Jakarta
2001,Cimaung,17,-7.09186061,107.56359038,Asia/Jakarta
2002,Jagabaya,17,-7.07733516,107.56349522,Asia/Jakarta
2003,Pasirhuni,17,-7.09109184,107.57671875,Asia/Jakarta
2004,Campakamulya,17,-7.1173652,107.6063,Asia/Jakarta
2005,Cipinang,17,-7.10193648,107.56038893,Asia/Jakarta
2006,Mekarsari,17,-7.12505987,107.59289632,Asia/Jakarta
2007,Sukamaju,17,-7.10767282,107.53292198,Asia/Jakarta
2008,Cikalong,17,-7.11946337,107.55776308,Asia/Jakarta
2009,Malasari,17,-7.08752866,107.53895713,Asia/Jakarta
2010,Warjabakti,17,-7.1384638,107.58961179,Asia/Jakarta
2001,Cicalengka Kulon,25,-6.98676713,107.83956612,Asia/Jakarta
2002,Cicalengka Wetan,25,-6.99136016,107.84702401,Asia/Jakarta
2003,Babakan Peuteuy,25,-6.98641551,107.85926817,Asia/Jakarta
2004,Cikuya,25,-6.98285383,107.82338254,Asia/Jakarta
2005,Dampit,25,-6.97504058,107.8627895,Asia/Jakarta
2006,Margaasih,25,-7.01029483,107.84628424,Asia/Jakarta
2007,Narawita,25,-7.02272578,107.85251873,Asia/Jakarta
2008,Panenjoan,25,-6.97374864,107.823357,Asia/Jakarta
2009,Tanjungwangi,25,-6.96733416,107.89329336,Asia/Jakarta
2010,Tenjolaya,25,-6.97754721,107.84047632,Asia/Jakarta
2011,Waluya,25,-6.99510033,107.83900036,Asia/Jakarta
2012,Nagrog,25,-6.99906287,107.86834923,Asia/Jakarta
2001,Nagreg,26,-7.02525122,107.88671509,Asia/Jakarta
2002,Bojong,26,-7.03970571,107.87521947,Asia/Jakarta
2003,Ciaro,26,-7.04344639,107.92248164,Asia/Jakarta
2004,Ciherang,26,-7.03845471,107.90077954,Asia/Jakarta
2005,Citaman,26,-7.00469104,107.88430679,Asia/Jakarta
2006,Mandalawangi,26,-7.03367325,107.86069674,Asia/Jakarta
2007,Nagreg Kendan,26,-7.00349099,107.89787037,Asia/Jakarta
2008,Ganjar Sabar,26,-7.01723192,107.87488944,Asia/Jakarta
2001,Mandalasari,27,-7.03425292,107.84036462,Asia/Jakarta
2002,Cikancung,27,-7.02810359,107.83101524,Asia/Jakarta
2003,Cikasungka,27,-7.0047575,107.81884075,Asia/Jakarta
2004,Cihanyir,27,-7.02663163,107.81919391,Asia/Jakarta
2005,Ciluluk,27,-7.03420665,107.81320444,Asia/Jakarta
2006,Hegarmanah,27,-7.00214318,107.83181981,Asia/Jakarta
2007,Mekarlaksana,27,-7.05393511,107.83339478,Asia/Jakarta
2008,Tanjunglaya,27,-6.99853195,107.81047223,Asia/Jakarta
2009,Srirahayu,27,-7.04567301,107.81289927,Asia/Jakarta
2011,Tegal Sumedang,28,-6.97712075,107.72262419,Asia/Jakarta
2012,Sangiang,28,-7.00144985,107.79280037,Asia/Jakarta
2013,Nanjung Mekar,28,-6.97050482,107.81370294,Asia/Jakarta
1014,Rancaekek Kencana,28,-6.97350617,107.75728536,Asia/Jakarta
2001,Ciparay,29,-7.0253714,107.72006894,Asia/Jakarta
2002,Gunungleutik,29,-7.03683938,107.70400456,Asia/Jakarta
2003,Mekarsari,29,-7.03192791,107.73571767,Asia/Jakarta
2004,Cikoneng,29,-7.07681214,107.70823523,Asia/Jakarta
2005,Ciheulang,29,-7.02597676,107.68418251,Asia/Jakarta
2006,Pakutandang,29,-7.04813998,107.70921799,Asia/Jakarta
2007,Sumbersari,29,-7.0024573,107.70373638,Asia/Jakarta
2008,Manggungharja,29,-7.04258253,107.71962696,Asia/Jakarta
2009,Sagaracipta,29,-7.06685944,107.71384954,Asia/Jakarta
2010,Sarimahi,29,-7.0207338,107.70669596,Asia/Jakarta
2011,Serangmekar,29,-7.0205276,107.69816806,Asia/Jakarta
