"forecast_id","subdistrict_id","utc_datetime","local_datetime","time_index","analysis_date","weather_condition_id","wind_direction_degrees","wind_direction","wind_direction_to","wind_speed","temperature","cloud_cover_percentage","precipitation_probability","humidity","visibility_meters","visibility_text","created_at","updated_at"
27,2,2025-07-20 01:00:00.000,2025-07-20 08:00:00.000,"24-25",2025-07-19 00:00:00.000,3,17,N,S,1.90,28.00,95,0.00,62,9006,< 10 km,2025-07-19 06:47:15.234,2025-07-19 06:47:15.234
28,2,2025-07-20 04:00:00.000,2025-07-20 11:00:00.000,"27-28",2025-07-19 00:00:00.000,1,48,NE,SW,3.40,32.00,14,0.00,46,8990,< 9 km,2025-07-19 06:47:15.267,2025-07-19 06:47:15.267
29,2,2025-07-20 07:00:00.000,2025-07-20 14:00:00.000,"30-31",2025-07-19 00:00:00.000,1,182,S,N,6.30,33.00,23,0.00,36,9013,< 10 km,2025-07-19 06:47:45.256,2025-07-19 06:47:45.256
30,2,2025-07-20 10:00:00.000,2025-07-20 17:00:00.000,"33-34",2025-07-19 00:00:00.000,1,346,NW,SE,5.20,28.00,34,0.00,61,8995,< 9 km,2025-07-19 06:47:45.299,2025-07-19 06:47:45.299
31,2,2025-07-20 13:00:00.000,2025-07-20 20:00:00.000,"36-37",2025-07-19 00:00:00.000,1,183,S,N,4.50,26.00,51,0.10,77,8988,< 9 km,2025-07-19 06:48:15.281,2025-07-19 06:48:15.281
32,2,2025-07-20 16:00:00.000,2025-07-20 23:00:00.000,"39-40",2025-07-19 00:00:00.000,1,201,S,N,5.90,25.00,50,0.00,78,9000,< 10 km,2025-07-19 06:48:15.327,2025-07-19 06:48:15.327
33,2,2025-07-20 19:00:00.000,2025-07-21 02:00:00.000,"42-43",2025-07-19 00:00:00.000,1,180,S,N,1.90,25.00,43,0.00,80,8994,< 9 km,2025-07-19 06:49:15.162,2025-07-19 06:49:15.162
34,2,2025-07-20 22:00:00.000,2025-07-21 05:00:00.000,"45-46",2025-07-19 00:00:00.000,1,98,E,W,3.70,25.00,21,0.00,81,9007,< 10 km,2025-07-19 06:49:15.163,2025-07-19 06:49:15.163
35,2,2025-07-21 01:00:00.000,2025-07-21 08:00:00.000,"48-49",2025-07-19 00:00:00.000,0,98,E,W,3.70,28.00,2,0.00,61,9007,< 10 km,2025-07-19 06:49:45.198,2025-07-19 06:49:45.198
36,2,2025-07-21 04:00:00.000,2025-07-21 11:00:00.000,"51-52",2025-07-19 00:00:00.000,1,75,NE,SW,4.20,31.00,12,0.00,47,8985,< 9 km,2025-07-19 06:49:45.233,2025-07-19 06:49:45.233
37,2,2025-07-21 07:00:00.000,2025-07-21 14:00:00.000,"54-55",2025-07-19 00:00:00.000,2,75,NE,SW,4.20,33.00,69,0.10,42,8985,< 9 km,2025-07-19 06:50:15.324,2025-07-19 06:50:15.324
38,2,2025-07-21 10:00:00.000,2025-07-21 17:00:00.000,"57-58",2025-07-19 00:00:00.000,1,24,N,S,2.90,28.00,38,0.10,62,9009,< 10 km,2025-07-19 06:50:15.325,2025-07-19 06:50:15.325
39,2,2025-07-21 16:00:00.000,2025-07-21 23:00:00.000,"63-64",2025-07-19 00:00:00.000,1,185,S,N,3.50,25.00,50,0.00,77,9003,< 10 km,2025-07-19 06:51:15.336,2025-07-19 06:51:15.336
40,2,2025-07-21 13:00:00.000,2025-07-21 20:00:00.000,"60-61",2025-07-19 00:00:00.000,2,24,N,S,2.90,26.00,65,0.00,71,9009,< 10 km,2025-07-19 06:51:15.336,2025-07-19 06:51:15.336
41,3,2025-07-19 07:00:00.000,2025-07-19 14:00:00.000,"6-7",2025-07-19 00:00:00.000,1,92,E,W,5.30,33.00,47,0.00,43,8996,< 9 km,2025-07-19 06:52:15.461,2025-07-19 06:52:15.461
42,3,2025-07-19 10:00:00.000,2025-07-19 17:00:00.000,"9-10",2025-07-19 00:00:00.000,3,22,N,S,4.60,28.00,100,0.00,70,8986,< 9 km,2025-07-19 06:52:15.462,2025-07-19 06:52:15.462
43,3,2025-07-19 13:00:00.000,2025-07-19 20:00:00.000,"12-13",2025-07-19 00:00:00.000,3,191,S,N,4.10,26.00,100,0.10,81,8998,< 9 km,2025-07-19 06:53:15.425,2025-07-19 06:53:15.425
44,3,2025-07-19 16:00:00.000,2025-07-19 23:00:00.000,"15-16",2025-07-19 00:00:00.000,3,189,S,N,4.40,25.00,100,0.00,83,9015,< 10 km,2025-07-19 06:53:45.424,2025-07-19 06:53:45.424
45,3,2025-07-19 19:00:00.000,2025-07-20 02:00:00.000,"18-19",2025-07-19 00:00:00.000,3,188,S,N,5.00,24.00,99,0.00,84,8988,< 9 km,2025-07-19 06:54:15.438,2025-07-19 06:54:15.438
46,3,2025-07-19 22:00:00.000,2025-07-20 05:00:00.000,"21-22",2025-07-19 00:00:00.000,1,184,S,N,6.60,23.00,46,0.00,86,8997,< 9 km,2025-07-19 06:54:15.481,2025-07-19 06:54:15.481
47,3,2025-07-20 01:00:00.000,2025-07-20 08:00:00.000,"24-25",2025-07-19 00:00:00.000,3,17,N,S,1.90,28.00,93,0.00,64,9006,< 10 km,2025-07-19 06:54:45.467,2025-07-19 06:54:45.467
48,3,2025-07-20 04:00:00.000,2025-07-20 11:00:00.000,"27-28",2025-07-19 00:00:00.000,1,48,NE,SW,3.40,32.00,19,0.00,48,8990,< 9 km,2025-07-19 06:54:45.504,2025-07-19 06:54:45.504
49,3,2025-07-20 07:00:00.000,2025-07-20 14:00:00.000,"30-31",2025-07-19 00:00:00.000,1,182,S,N,6.30,34.00,41,0.00,38,9013,< 10 km,2025-07-19 06:55:15.800,2025-07-19 06:55:15.800
50,3,2025-07-20 10:00:00.000,2025-07-20 17:00:00.000,"33-34",2025-07-19 00:00:00.000,1,346,NW,SE,5.20,28.00,36,0.10,65,8995,< 9 km,2025-07-19 06:55:15.803,2025-07-19 06:55:15.803
51,3,2025-07-20 13:00:00.000,2025-07-20 20:00:00.000,"36-37",2025-07-19 00:00:00.000,1,183,S,N,4.50,26.00,55,0.20,78,8988,< 9 km,2025-07-19 06:55:45.828,2025-07-19 06:55:45.828
52,3,2025-07-20 16:00:00.000,2025-07-20 23:00:00.000,"39-40",2025-07-19 00:00:00.000,1,201,S,N,5.90,25.00,58,0.00,80,9000,< 10 km,2025-07-19 06:55:45.850,2025-07-19 06:55:45.850
53,3,2025-07-20 19:00:00.000,2025-07-21 02:00:00.000,"42-43",2025-07-19 00:00:00.000,1,180,S,N,1.90,25.00,48,0.00,79,8994,< 9 km,2025-07-19 06:56:15.882,2025-07-19 06:56:15.882
54,3,2025-07-20 22:00:00.000,2025-07-21 05:00:00.000,"45-46",2025-07-19 00:00:00.000,1,98,E,W,3.70,25.00,26,0.00,81,9007,< 10 km,2025-07-19 06:56:15.923,2025-07-19 06:56:15.923
55,3,2025-07-21 04:00:00.000,2025-07-21 11:00:00.000,"51-52",2025-07-19 00:00:00.000,0,75,NE,SW,4.20,32.00,10,0.00,47,8985,< 9 km,2025-07-19 06:57:16.436,2025-07-19 06:57:16.436
56,3,2025-07-21 01:00:00.000,2025-07-21 08:00:00.000,"48-49",2025-07-19 00:00:00.000,0,98,E,W,3.70,28.00,2,0.00,62,9007,< 10 km,2025-07-19 06:57:16.437,2025-07-19 06:57:16.437
57,3,2025-07-21 07:00:00.000,2025-07-21 14:00:00.000,"54-55",2025-07-19 00:00:00.000,1,75,NE,SW,4.20,33.00,52,0.00,40,8985,< 9 km,2025-07-19 06:57:46.786,2025-07-19 06:57:46.786
58,3,2025-07-21 10:00:00.000,2025-07-21 17:00:00.000,"57-58",2025-07-19 00:00:00.000,1,24,N,S,2.90,28.00,37,0.00,61,9009,< 10 km,2025-07-19 06:57:47.477,2025-07-19 06:57:47.477
59,3,2025-07-21 13:00:00.000,2025-07-21 20:00:00.000,"60-61",2025-07-19 00:00:00.000,1,24,N,S,2.90,27.00,45,0.00,70,9009,< 10 km,2025-07-19 06:58:16.825,2025-07-19 06:58:16.825
60,3,2025-07-21 16:00:00.000,2025-07-21 23:00:00.000,"63-64",2025-07-19 00:00:00.000,1,185,S,N,3.50,26.00,36,0.00,77,9003,< 10 km,2025-07-19 06:58:17.502,2025-07-19 06:58:17.502
62,4,2025-07-20 04:00:00.000,2025-07-20 11:00:00.000,"27-28",2025-07-19 00:00:00.000,1,48,NE,SW,3.40,31.00,24,0.00,50,8990,< 9 km,2025-07-19 06:59:16.491,2025-07-19 06:59:16.491
64,4,2025-07-21 10:00:00.000,2025-07-21 17:00:00.000,"57-58",2025-07-19 00:00:00.000,1,24,N,S,2.90,28.00,37,0.00,63,9009,< 10 km,2025-07-19 07:00:17.684,2025-07-19 07:00:17.684
66,4,2025-07-19 22:00:00.000,2025-07-20 05:00:00.000,"21-22",2025-07-19 00:00:00.000,1,184,S,N,6.60,23.00,52,0.00,85,8997,< 9 km,2025-07-19 07:01:07.207,2025-07-19 07:01:07.207
68,4,2025-07-21 01:00:00.000,2025-07-21 08:00:00.000,"48-49",2025-07-19 00:00:00.000,0,98,E,W,3.70,28.00,2,0.00,62,9007,< 10 km,2025-07-19 07:01:38.012,2025-07-19 07:01:38.012
69,4,2025-07-21 13:00:00.000,2025-07-21 20:00:00.000,"60-61",2025-07-19 00:00:00.000,2,24,N,S,2.90,27.00,66,0.00,72,9009,< 10 km,2025-07-19 07:02:08.811,2025-07-19 07:02:08.811
